ID,Username,Question_ID,Issues,Category
1,test_user,test_q1,invalid_question_id,Test Data
4,test_user,test_q2,invalid_question_id,Test Data
553,teacher_man,U1-PC-FRQ-Q02,invalid_question_id,Progress Check
554,teacher_man,U1-PC-MCQ-A-Q01,invalid_question_id,Progress Check
1363,test_peer,q1,invalid_question_id,Test Data
2512,test_verification,test_q1,invalid_question_id,Test Data
3048,Kiwi_Monkey,U9-L3-MCQ-Q02,invalid_question_id,Unit 9 Format
3049,Kiwi_Monkey,U9-L3-FRQ-Q01,invalid_question_id,Unit 9 Format
3050,Apple_Monkey,U1-PC-MCQ-A-Q01,invalid_question_id,Progress Check
3051,Kiwi_Monkey,U9-L3-MCQ-Q03,invalid_question_id,Unit 9 Format
